,states,City,Population,total_crimes,Aggravated Assault,Simple Assault,Intimidation,Murder and Nonnegligent Manslaughter,Negligent Man- slaughter,Justifiable Homicide,Human Trafficking Offenses,Commercial Sex Acts,Involuntary Servitude,Kidnapping/ Abduction,Rape,Sodomy,Sexual Assault With an Object,Fondling,"Sex Offenses, Non- forcible",Incest,Statutory Rape,Arson,Bribery,Burglary/ Breaking & Entering,Counter- feiting/ Forgery,Destruction/ Damage/ Vandalism of Property,Embezzle- ment,Extortion/ Blackmail,False Pretenses/ Swindle/ Confidence Game,Credit Card/ Automated Teller Machine Fraud,Imper- sonation,Welfare Fraud,Wire Fraud,Pocket- picking,Purse- snatching,Shop- lifting,Theft From Building,Theft From Coin Op- erated Machine or Device,Theft From Motor Vehicle,Theft of  Motor  Vehicle Parts or Acces- sories,All Other Larceny,Motor Vehicle Theft,Robbery,Stolen Property Offenses,Drug/ Narcotic Violations,Drug Equipment Violations,Betting/ Wagering,Operating/ Promoting/ Assisting Gambling,Gambling Equipment Violations,Sports Tampering,Por- nography/ Obscene Material,Pros- titution,Assisting or Promoting Prostitution,Purchasing Prostitution,Weapon Law Violations
61,ARKANSAS,Earle,2298,222.0,19,36,29,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,25,3,41,0,0,1,0,5,0,0,0,0,2,8,0,4,2,20,6,2,1,3,2,0,0,0,0,0,0,0,0,7
62,ARKANSAS,El Dorado,18229,2057.0,132,183,142,6,0,0,0,0,0,6,2,0,7,2,0,0,0,2,0,385,65,278,0,0,26,20,1,0,0,0,0,105,1,1,39,2,474,38,25,2,78,12,0,0,0,0,0,0,0,0,23
63,ARKANSAS,Elkins,2949,81.0,1,5,12,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,9,2,7,0,0,0,1,0,0,0,0,0,3,0,0,4,0,11,0,0,2,12,8,0,0,0,0,0,0,0,0,1
64,ARKANSAS,England,2775,306.0,19,57,0,0,0,0,0,0,0,5,5,6,0,1,0,0,0,2,0,34,5,38,0,0,5,4,3,0,0,0,0,3,0,0,3,1,65,2,3,3,17,12,0,0,0,0,7,0,0,0,6
65,ARKANSAS,Etowah,329,7.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,ARKANSAS,Eudora,2105,193.0,4,34,26,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23,0,40,0,0,4,0,1,0,0,0,0,7,0,0,1,0,36,3,1,1,6,0,0,1,0,0,0,0,0,0,3
67,ARKANSAS,Eureka Springs,2088,277.0,4,34,20,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,30,6,30,0,0,0,5,7,0,0,0,6,1,13,0,6,0,46,4,2,0,28,27,0,0,0,0,0,0,0,0,3
68,ARKANSAS,Fairfield Bay,2265,186.0,8,32,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,33,0,17,0,0,7,2,0,0,0,0,0,0,7,0,2,0,40,3,0,3,3,3,0,0,0,0,0,0,0,0,1
69,ARKANSAS,Farmington,6603,225.0,6,33,14,0,0,0,0,0,0,2,1,1,0,0,0,0,0,2,0,15,8,28,0,0,0,2,1,0,0,0,0,1,12,0,35,0,40,7,1,2,10,3,0,0,0,0,0,0,0,0,1
70,ARKANSAS,Fayetteville,82377,8414.0,312,1087,46,5,0,0,3,3,0,43,39,1,0,0,0,0,0,5,0,434,221,1108,0,0,123,302,93,0,0,3,0,568,895,11,777,117,553,355,56,111,628,438,0,0,0,0,10,1,1,0,65
